RecordID,Timestamp ,Temperature,Humidity,Light,CO2, humidityratio,Occupancy,hour ,DayOfWeek,DayType,Room
1571,2025-01-14 10:10:00,,19.395,0.0,491.0,0.003003506,0,10,Tuesday,Weekday,A
943,2025-01-13 23:42:00,22.1,0.258,483.25,998.75,0.00424285,1,23,Monday,Weekday,C
1961,2025-01-14 16:40:00,20.6,19.34,0.0,433.0,0.00289483,0,16,Tuesday,Weekday,A
5429,2025-01-17 02:28:00,"19,4175",30.4725,47.0,429.0,0.004248196,0,2,Friday,Weekday,A
4294,2025-01-16 07:33:00,20.5,21.1,0.0,435.0,0.003140079,0,7,Thursday,Weekday,A
6094,2025-01-17 13:33:00,19.5,0.2755,0.0,446.0,0.003858124,0,13,Friday,Weekday,C
204,2025-01-13 11:23:00,21.5,26.1,0.0,501.0,?,0,11,Monday,Weekday,A
4387,2025-01-16 09:06:00,20.2,0.2339,0.0,439.0,0.003418479,0,9,Thursday,Weekday,B
3638,2025-01-15 20:37:00,19.7,19.39,0.0,442.5,0.002744454,0,20,Wednesday,Weekday,B
1961,2025-01-14 16:40:00,20.6,19.34,0.0,433.0,0.00289483,0,16,Tuesday,Weekday,A
2771,2025-01-15 06:10:00,22.01666667,21.01166667,478.6,864.6,0.003433446,1,6,Wednesday,Weekday,A
4234,2025-01-16 06:33:00,21.0,19.79,12.0,444.0,0.003036726,0,6,Thursday,Weekday,C
1645,2025-01-14 11:24:00,20.89,20.0,0.0,469.0,0.003048317,0,11,Tuesday,Weekday,C
2239,2025-01-14 21:18:00,20.2,18.6,0.0,436.0,0.002715358,0,21,Tuesday,Weekday,A
6812,2025-01-18 01:31:00,21.2225,33.145,495.25,1404.75,0.005173622,1,1,Saturday,Weekend,B
1918,2025-01-14 15:57:00,20.5,19.89,0.0,439.5,0.002959152,0,15,Tuesday,Weekday,A
430,2025-01-13 15:09:00,21.1,25.39,0.0,452.0,0.003925619,0,15,Monday,Weekday,B
367,2025-01-13 14:06:00,21.23,25.23,0.0,454.0,0.003932179,0,14,Monday,Weekday,A
658,2025-01-13 18:57:00,21.0,23.89,0.0,451.0,0.003669572,0,18,Monday,Weekday,A
512,2025-01-13 16:31:00,21.0,25.0,0.0,445.0,0.003841124,0,16,Monday,Weekday,A
5970,2025-01-17 11:29:00,19.39,27.39,0.0,454.0,0.003809261,0,11,Friday,Weekday,C
4041,2025-01-16 03:20:00,23.06666667,17.0,265.0,449.3333333,0.002958618,0,3,Thursday,Weekday,C
6518,2025-01-17 20:37:00,19.39,26.29,0.0,469.0,0.00365538,0,20,Friday,Weekday,C
6679,2025-01-17 23:18:00,19.96333333,28.96,,622.0,0.004176036,1,23,Friday,Weekday,C
4565,2025-01-16 12:04:00,19.79,0.275,0.0,444.0,0.003921519,0,12,Thursday,Weekday,B
6730,2025-01-18 00:09:00,20.6,31.445,438.0,1050.5,"0,0047",1,0,Saturday,Weekend,B
4843,2025-01-16 16:42:00,19.39,30.89,?,434.5,0.004299388,0,16,Thursday,Weekday,A
